Removed Pin From Net: NetName=GND Pin=BT-NEG
Removed Pin From Net: NetName=VBat Pin=C4-1
Removed Pin From Net: NetName=Vcc Pin=D1-2
Removed Pin From Net: NetName=VBat Pin=D4-1
Removed Pin From Net: NetName=6V Pin=D4-2
Removed Pin From Net: NetName=Vcc Pin=IC1-2
Removed Pin From Net: NetName=6V Pin=IC2-2
Removed Pin From Net: NetName=VBat Pin=IC7-2
Removed Pin From Net: NetName=VBat Pin=IC9-1
Removed Pin From Net: NetName=VBat Pin=IC9-3
Removed Pin From Net: NetName=GND Pin=R11-1
Removed Pin From Net: NetName=GND Pin=R30-1
Removed Pin From Net: NetName=GPIO35 Pin=R30-2
Removed Pin From Net: NetName=GND Pin=U2-26
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=D1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=IC1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=R1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=R30
Change Component Footprint: Designator=R2 Old Footprint=RES 0603_1608 New Footprint=YAGEO RES 0402_1005
Change Component Comment : Designator=R2 Old Comment=100 kOhms New Comment=82 kOhms
Change component parameters: Designator = "R2" ("R2"); Footprint = "RES 0603_1608"; UniqueID = "\LCOJHROF\SFBYIYWT\INENVMGU" ("\LCOJHROF\SFBYIYWT\INENVMGU")
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW0402100KFKED"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "11959"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.063W, 1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "CRCW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "541-100KLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100 kOhms"; VariantName = "[No Variations]"
Added Component: Designator=R34(RES 0402_1005)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/vishay-dale/CRCW0402100KFKED/1178235"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.016" (0.40mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "11/2/2023 7:33:14 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW0402100KFKED"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "11959"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.063W, 1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "CRCW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "541-100KLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100 kOhms"; VariantName = "[No Variations]"
Added Component: Designator=TP_GND1(RCWCTE)
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/RCWCTE/KOA+Speer/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "2019-RCWCTETR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "KOA Speer"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCWCTE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/RCWCTE/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCWCTE/KOA+Speer/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP_VBTY_CH1(RCWCTE)
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/RCWCTE/KOA+Speer/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "2019-RCWCTETR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "KOA Speer"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCWCTE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/RCWCTE/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCWCTE/KOA+Speer/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=BT1-N
Added Pin To Net: NetName=6V Pin=C4-1
Added Pin To Net: NetName=GND Pin=C33-1
Added Pin To Net: NetName=GND Pin=C34-1
Added Pin To Net: NetName=GND Pin=C35-1
Added Pin To Net: NetName=GND Pin=C36-1
Added Pin To Net: NetName=GND Pin=C37-1
Added Pin To Net: NetName=GND Pin=C38-1
Added Pin To Net: NetName=GND Pin=C41-1
Added Pin To Net: NetName=GND Pin=C42-1
Added Pin To Net: NetName=6V Pin=C47-1
Added Pin To Net: NetName=GND Pin=C47-2
Added Pin To Net: NetName=6V Pin=C48-1
Added Pin To Net: NetName=GND Pin=C48-2
Added Pin To Net: NetName=GND Pin=C49-2
Added Pin To Net: NetName=GND Pin=C50-1
Added Pin To Net: NetName=GND Pin=C53-1
Added Pin To Net: NetName=6V Pin=IC9-1
Added Pin To Net: NetName=6V Pin=IC9-3
Added Pin To Net: NetName=VBat Pin=J4-1
Added Pin To Net: NetName=GND Pin=J4-3
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=Vcc Pin=J6-1
Added Pin To Net: NetName=Vcc Pin=LED1-A
Added Pin To Net: NetName=GPIO35 Pin=R2-2
Added Pin To Net: NetName=6V Pin=R12-2
Added Pin To Net: NetName=GND Pin=R24-1
Added Pin To Net: NetName=GND Pin=R25-1
Added Pin To Net: NetName=6V Pin=R26-2
Added Pin To Net: NetName=GND Pin=R27-1
Added Pin To Net: NetName=GND Pin=R31-1
Added Pin To Net: NetName=VBat Pin=R33-1
Added Pin To Net: NetName=GND Pin=R34-2
Added Pin To Net: NetName=VBat Pin=SW1-1
Added Pin To Net: NetName=GND Pin=TP_GND1-1
Change Net Name : Old Net Name=6V New Net Name=VBat
Change Net Name : Old Net Name=GND New Net Name=AGND
Change Net Name : Old Net Name=Vin New Net Name=NetIC1_3
Change Net Color : Old Net Color=Black New Net Color=Default
Added Pin To Net: NetName=\C\E\ Pin=U2-24
Added Net: Name=\C\E\
Added Pin To Net: NetName=\I\N\T\ Pin=U2-26
Added Net: Name=\I\N\T\
Added Pin To Net: NetName=\P\G\ Pin=R32-1
Added Net: Name=\P\G\
Added Net: Name=BOOT1
Added Net: Name=BOOT2
Added Pin To Net: NetName=COMP Pin=C38-2
Added Pin To Net: NetName=COMP Pin=R23-2
Added Net: Name=COMP
Added Pin To Net: NetName=FB Pin=R26-1
Added Pin To Net: NetName=FB Pin=R27-2
Added Net: Name=FB
Added Pin To Net: NetName=FSW Pin=R24-2
Added Net: Name=FSW
Added Pin To Net: NetName=M_Bat Pin=C53-2
Added Pin To Net: NetName=M_Bat Pin=R33-2
Added Pin To Net: NetName=M_Bat Pin=R34-1
Added Net: Name=M_Bat
Added Pin To Net: NetName=NetBT1_P1 Pin=BT1-P1
Added Pin To Net: NetName=NetBT1_P1 Pin=BT1-P2
Added Pin To Net: NetName=NetBT1_P1 Pin=SW1-2
Added Net: Name=NetBT1_P1
Added Pin To Net: NetName=NetC42_2 Pin=C42-2
Added Pin To Net: NetName=NetC42_2 Pin=R23-1
Added Net: Name=NetC42_2
Added Pin To Net: NetName=NetC51_1 Pin=C51-1
Added Pin To Net: NetName=NetC51_1 Pin=C52-1
Added Net: Name=NetC51_1
Added Pin To Net: NetName=NetC51_2 Pin=C51-2
Added Pin To Net: NetName=NetC51_2 Pin=C52-2
Added Net: Name=NetC51_2
Added Pin To Net: NetName=NetLED1_K Pin=LED1-K
Added Pin To Net: NetName=NetLED1_K Pin=R32-2
Added Net: Name=NetLED1_K
Added Net: Name=SW1
Added Net: Name=SW2
Added Pin To Net: NetName=SYS Pin=C49-1
Added Pin To Net: NetName=SYS Pin=J6-2
Added Pin To Net: NetName=SYS Pin=TP_VBTY_CH1-1
Added Net: Name=SYS
Added Pin To Net: NetName=TS Pin=R31-2
Added Net: Name=TS
Added Pin To Net: NetName=VCCI Pin=C37-2
Added Net: Name=VCCI
Added Pin To Net: NetName=VIN Pin=C33-2
Added Pin To Net: NetName=VIN Pin=C34-2
Added Pin To Net: NetName=VIN Pin=C35-2
Added Pin To Net: NetName=VIN Pin=C36-2
Added Pin To Net: NetName=VIN Pin=C40-2
Added Pin To Net: NetName=VIN Pin=C41-2
Added Pin To Net: NetName=VIN Pin=FB1-2
Added Pin To Net: NetName=VIN Pin=R22-2
Added Net: Name=VIN
Change Class Name : Old Net Name=Fuente switching tipo Buck (6V) New Net Name=Fuente switching tipo Buck-Boost 5V
Added Class: Name=U_RTU_B2_Battery_Charger
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component BT1 3034TR
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C33 10 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C34 10 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C35 10 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C36 10 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C37 4.7 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C38 100 pF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C41 10000 pF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C42 0.047 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C47 100 µF
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component C48 100 µF
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component D1 BZX84W-C12F
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component IC1 IRLML9301TRPBF
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component J4 B3B-XH-A
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component J5 XH2.54-2P
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component R1 100 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R2 82 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R22 82.5 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R23 6.2 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R24 49.9 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R25 47 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R26 100 kOhms
Added Member To Class: ClassName=Fuente switching tipo Buck-Boost 5V Member=Component R27 29.4 kOhms
Added Member To Class: ClassName=RTU_B2_Block_Diagram Member=Component SW1 MFS201N-9-Z
